time,step-size,{Controller1}.Controller1.accdes,{Controller2}.Controller2.accdes,{Controller3}.Controller3.accdes,{LeadCar}.LeadCar.accel,{LeadCar}.LeadCar.speed,{LeadCar}.LeadCar.x,{SimpleCar1}.SimpleCar1.accel_out,{SimpleCar1}.SimpleCar1.speed,{SimpleCar1}.SimpleCar1.x,{SimpleCar2}.SimpleCar2.accel_out,{SimpleCar2}.SimpleCar2.speed,{SimpleCar2}.SimpleCar2.x,{SimpleCar3}.SimpleCar3.speed,{SimpleCar3}.SimpleCar3.x
0.0,0.0,0.0,0.0,0.0,0.0,10.0,40.0,0.0,5.0,25.0,0.0,5.0,15.0,5.0,5.0
0.1,0.1,1.840000033378601,0.14000000059604645,0.14000000059604645,0.0,10.0,41.0,0.0,5.0,25.5,0.0,5.0,15.5,5.0,5.5
0.2,0.1,1.8600000143051147,0.14000000059604645,0.14000000059604645,0.003767431171758803,10.0,42.0,0.36800000667572025,5.0,26.0,0.028000000119209292,5.0,16.0,5.0,6.0
0.30000000000000004,0.1,1.8837674856185913,0.3258837163448334,0.15588371455669403,0.0105339389512653,10.000376743117176,43.0,0.6664000082015993,5.036800000667572,26.5,0.05040000021457673,5.002800000011921,16.5,5.002800000011921,6.5
0.4,0.1,1.8959647417068481,0.4884246289730072,0.1702246367931366,0.019670030036155715,10.001430137012303,44.00003767431172,0.9098735036849976,5.103440001487732,27.00368000006676,0.10549674344062804,5.0078400000333785,17.00028000000119,5.0078400000333785,7.000280000001192
0.5,0.1,1.8987207412719727,0.6329466700553894,0.20194244384765625,0.030657417258815857,10.003397140015919,45.000180688012954,1.1070917512893677,5.194427351856231,27.51402400021553,0.18208232054710385,5.018389674377441,17.50106400000453,5.014989674341678,7.50106400000453
0.6,0.1,1.8936914205551147,0.7607050538063049,0.24623055756092072,0.04306695346954953,10.0064628817418,46.000520402014544,1.2654175492858886,5.3051365269851685,28.033466735401156,0.27225519044876095,5.036597906432151,18.002902967442274,5.024113906524181,8.002562967438697
0.7,0.1,1.882279634475708,0.8730130195617676,0.29965466260910034,0.056541035936720295,10.010769577088755,47.001166690188725,1.3910723235397338,5.431678281913757,28.563980388099672,0.3699451631202697,5.063823425477027,18.50656275808549,5.035452141147136,8.504974358091115
0.7999999999999999,0.1,1.8656651973724365,0.971154510974884,0.35934966802597046,0.07077958624328058,10.016423680682427,48.0022436478976,1.4893137857269285,5.5707855142677305,29.107148216291048,0.47055873440856927,5.100817941789054,19.012945100633193,5.049447339996719,9.008519572205829
0.8999999999999999,0.1,1.8448385000228882,1.0563656091690063,0.4229549467563629,0.08552888944072738,10.023501639306755,49.00388601596584,1.5645840680560301,5.719716892840423,29.66422676771782,0.5706778897218322,5.147873815229911,19.523026894812098,5.066636592328567,9.5134643062055
0.9999999999999999,0.1,1.8206291198730469,1.1298201084136963,0.4885435998439789,0.10057271925132169,10.032054528250827,50.00623617989652,1.6206349544494016,5.876175299646026,30.236198457001862,0.667815433611267,5.204941604202094,20.037814276335087,5.087574987554564,10.020127965438357
1.0999999999999999,0.1,1.7937260866165161,1.1926205158233643,0.554559588432312,0.11572529053860572,10.04211180017596,51.009441632721604,1.6606337875341306,6.038238795090966,30.823815986966466,0.7602163685717529,5.271723147563221,20.558308436755297,5.11278480267049,10.528885464193813
1.2,0.1,1.7646992206573486,1.2457934617996216,0.6197618842124939,0.13082567181580596,10.05368432922982,52.0136528127392,1.6872522473506077,6.204302173844379,31.427639866475563,0.8466971980220752,5.347744784420397,21.085480751511618,5.1427235267601095,11.040163944460863
1.3,0.1,1.7340190410614014,1.2902864217758179,0.6831766366958618,0.1457333638083661,10.066766896411401,53.01902124566219,1.7027416420119559,6.37302739857944,32.048070083860004,0.9265164507775846,5.432414504222605,21.620255229953656,5.177765697800452,11.554436297136874
1.4000000000000001,0.1,1.7020671367645264,1.3269691467285156,0.7440523505210876,0.16032480869197757,10.081340232792238,54.02569793530333,1.708997121821845,6.543301562780636,32.68537282371795,0.9992704449772313,5.525066149300363,22.163496680375918,5.218194672316976,12.072212866916919
1.5000000000000002,0.1,1.6691532135009766,1.3566339015960693,0.8018250465393066,0.1744906415201294,10.097372713661436,55.03383195858255,1.7076111248103811,6.714201274962821,33.33970297999601,1.0648101853274883,5.624993193798086,22.716003295305953,5.264201384664112,12.594032334148617
1.6000000000000003,0.1,1.6355245113372803,1.3799992799758911,0.8560840487480164,0.18813353287860038,10.114821777813448,56.043569229948694,1.6999195425485003,6.884962387443859,34.011123107492296,1.1231749285812045,5.731474212330835,23.278502614685763,5.315887801552242,13.120452472615028
1.7000000000000004,0.1,1.601374864578247,1.3977124691009521,0.9065455198287964,0.20116650183300122,10.13363513110131,57.05505140773004,1.6870405363062564,7.054954341698709,34.69961934623668,1.1745397988601418,5.843791705188956,23.851650035918848,5.373273435993533,13.652041252770253
1.8000000000000005,0.1,1.5668561458587646,1.410355567932129,0.9530291557312012,0.21351160226903282,10.15375178128461,58.06841492084017,1.6699074019606546,7.223658395329335,35.40511478040655,1.219174332908304,5.96124568507497,24.436029206437745,5.436303624521526,14.189368596369608
1.9000000000000006,0.1,1.532080888748169,1.4184473752975464,0.9954367876052856,0.22509890496318744,10.175102941511513,59.083790098968635,1.6492971507402765,7.3906491355254005,36.12748061993948,1.257410579913069,6.083163118365801,25.032153774945243,5.504858685740496,14.73299895882176
