time,step-size,{Cacc1FMU}.Cacc1FMUInstance.accdes,{Cacc2FMU}.Cacc2FMUInstance.accdes,{Cacc3FMU}.Cacc3FMUInstance.accdes,{LeaderPlantFMU}.LeaderPlantFMUInstance.accel,{LeaderPlantFMU}.LeaderPlantFMUInstance.speed,{LeaderPlantFMU}.LeaderPlantFMUInstance.x,{Parameters}.ParametersInstance.C1_weight_1,{Parameters}.ParametersInstance.controllerBandwidth_1,{Parameters}.ParametersInstance.dampingRatio_1,{Parameters}.ParametersInstance.precVehicleLenght_1,{Parameters}.ParametersInstance.targetDistance_1,{PlantFMU}.PlantFMUInstance1.acc,{PlantFMU}.PlantFMUInstance1.speed,{PlantFMU}.PlantFMUInstance1.x,{PlantFMU}.PlantFMUInstance2.acc,{PlantFMU}.PlantFMUInstance2.speed,{PlantFMU}.PlantFMUInstance2.x,{PlantFMU}.PlantFMUInstance3.acc,{PlantFMU}.PlantFMUInstance3.speed,{PlantFMU}.PlantFMUInstance3.x
0.0,0.0,0.0,0.0,0.0,0.0,5.0,40.0,0.5,0.2,1.0,4.0,15.0,0.0,0.001,25.0,0.0,0.001,15.0,0.0,0.001,5.0
0.01,0.01,1.8395999670028687,0.13989999890327454,0.13989999890327454,0.0,5.0,40.05,0.5,0.2,1.0,4.0,15.0,0.0,0.001,25.000010000000003,0.0,0.001,15.000010000000003,0.0,0.001,5.000009999999998
0.02,0.01,1.8415995836257935,0.13989999890327454,0.13989998400211334,3.76988637933537E-5,5.0,40.099999999999994,0.5,0.2,1.0,4.0,15.0,0.0,0.00122796679853512,25.00002089360219,0.0,0.0010171715552151398,15.000020067232665,0.0,0.0010171715552151398,5.000020067232659
0.03,0.01,1.84354567527771,0.13998040556907654,0.13991713523864746,1.1234112581760225E-4,5.000000376988638,40.14999999999999,0.5,0.2,1.0,4.0,15.0,0.0,0.0017772986852111429,25.000035677820055,0.0,0.0010586285218278963,15.000030427935512,0.0,0.0010586285188087501,5.000030427935473
0.04,0.01,1.8454002141952515,0.14016617834568024,0.13995034992694855,2.2318494159369927E-4,5.000001500399896,40.20000000376988,0.5,0.2,1.0,4.0,15.0,0.0,0.0026426648664980516,25.000057539230365,0.0,0.0011239539994878588,15.000041322844773,0.0,0.0011239461992611991,5.0000413228138205
0.05,0.01,1.847164511680603,0.14045560359954834,0.13999931514263153,3.695018154218502E-4,5.000003732249311,40.25000001877388,0.5,0.2,1.0,4.0,15.0,0.0,0.003818816229608819,25.000089612558625,0.0,0.0012127556726600234,15.000052988667539,0.0,0.001212710198226618,5.000052988398689
0.060000000000000005,0.01,1.8488399982452393,0.1408471167087555,0.14006389677524567,5.50576333582183E-4,5.000007427267466,40.30000005609637,0.5,0.2,1.0,4.0,15.0,0.0,0.005300578771751762,25.00013497858214,0.0,0.0013246663963696313,15.000065658306635,0.0,0.001324516290425535,5.000065657120158
0.07,0.01,1.8504279851913452,0.14133913815021515,0.14014364778995514,7.657059029301467E-4,5.000012933030802,40.35000013036905,0.5,0.2,1.0,4.0,15.0,0.0,0.007082851779441984,25.000196669918452,0.0,0.0014593436115200946,15.000079561140936,0.0,0.0014589699760589369,5.000079557438432
0.08,0.01,1.851929783821106,0.14192995429039001,0.14023832976818085,0.001014200494778733,5.000020590089831,40.400000259699354,0.5,0.2,1.0,4.0,15.0,0.0,0.009160615494617611,25.000277663967744,0.0,0.0016164684567635049,15.000094923221967,0.0,0.0016156865167645368,5.00009491389747
0.09,0.01,1.8533470630645752,0.1426180750131607,0.14034783840179443,0.0012953823939617754,5.000030732094779,40.450000465600255,0.5,0.2,1.0,4.0,15.0,0.0,0.011528912435545796,25.00038089406717,0.0,0.001795745196083219,15.000111967529866,0.0,0.001794290532973647,5.000111947242182
0.09999999999999999,0.01,1.8546807765960693,0.14340190589427948,0.14047172665596008,0.0016085859529746868,5.000043685918719,40.500000772921204,0.5,0.2,1.0,4.0,15.0,0.0,0.014182872450518065,25.00050923715104,0.0,0.001996900544687728,15.000130914201572,0.0,0.0019944157722472304,5.000130874509559
0.10999999999999999,0.01,1.855932593345642,0.14427992701530457,0.1406099796295166,0.001953157351091073,5.000059771778249,40.55000120978039,0.5,0.2,1.0,4.0,15.0,0.3064942733208743,0.017117682996741573,25.000665527641374,0.024420015156845165,0.002219682739524819,15.000151980743354,0.02252891486957739,0.002215705080538377,5.000151909115294
0.11999999999999998,0.01,1.8571034669876099,0.29849764704704285,0.15297214686870575,0.002328454358355686,5.000079303351759,40.600001807498174,0.5,0.2,1.0,4.0,15.0,0.3336272862864937,0.02032860775260474,25.000852550125913,0.026687448625968422,0.0024638614054700667,15.000175382260462,0.02477696515755741,0.002457810067006338,5.000175260955616
0.12999999999999998,0.01,1.8581947088241577,0.3131259083747864,0.1542719006538391,0.0027338461043561685,5.000102587895343,40.65000260053169,0.5,0.2,1.0,4.0,15.0,0.3624080868607557,0.02381097609360675,25.001073042867656,0.03016053283874084,0.002748250143967118,15.000201411261461,0.027246196798065975,0.0027219064973951655,5.000201142426376
0.13999999999999999,0.01,1.8592076301574707,0.32866013050079346,0.15619315207004547,0.003168712851677991,5.0001299263563865,40.70000362641065,0.5,0.2,1.0,4.0,15.0,0.38834117559999703,0.02756019059962276,25.001329697016722,0.036415127959498965,0.0030819569910385553,15.000230524454778,0.029595859569507815,0.0030084085969463697,5.000229777019117
0.15,0.01,1.8601435422897339,0.34284713864326477,0.15952615439891815,0.0036324457739488904,5.000161613484903,40.75000492567421,0.5,0.2,1.0,4.0,15.0,0.4134197837315136,0.0315717174254826,25.0016251583035,0.040970787914965265,0.003466794339563504,15.000263228956454,0.032079705034441575,0.0033172282454469884,5.000261388260926
0.16,0.01,1.8610036373138428,0.35668155550956726,0.16203099489212036,0.004124446738380999,5.000197937942643,40.80000654180906,0.5,0.2,1.0,4.0,15.0,0.4382763908181025,0.03584108930064044,25.001962027459843,0.04647259123060839,0.003904431918010886,15.000300044623685,0.03456065736348217,0.0036484867374757227,5.000296199746732
0.17,0.01,1.8617889881134033,0.37047722935676575,0.16503040492534637,0.004644128092720669,5.000239182410026,40.850008521188485,0.5,0.2,1.0,4.0,15.0,0.464119171400997,0.0403639034652123,25.002342860850895,0.052505497699747605,0.004396397140289825,15.00034150716755,0.03633971257783671,0.004002273025618182,5.000334436422422
