time,step-size,{Cacc1FMU}.Cacc1FMUInstance.accdes,{Cacc2FMU}.Cacc2FMUInstance.accdes,{Cacc3FMU}.Cacc3FMUInstance.accdes,{Cacc4FMU}.Cacc4FMUInstance.accdes,{LeaderPlantFMU}.LeaderPlantFMUInstance.acc,{LeaderPlantFMU}.LeaderPlantFMUInstance.speed,{LeaderPlantFMU}.LeaderPlantFMUInstance.x,{Parameters}.ParametersInstance.C1_weight_1,{Parameters}.ParametersInstance.controllerBandwidth_1,{Parameters}.ParametersInstance.dampingRatio_1,{Parameters}.ParametersInstance.precVehicleLenght_1,{Parameters}.ParametersInstance.targetDistance_1,{PlantFMU}.PlantFMUInstance1.acc,{PlantFMU}.PlantFMUInstance1.speed,{PlantFMU}.PlantFMUInstance1.x,{PlantFMU}.PlantFMUInstance2.acc,{PlantFMU}.PlantFMUInstance2.speed,{PlantFMU}.PlantFMUInstance2.x,{PlantFMU}.PlantFMUInstance3.acc,{PlantFMU}.PlantFMUInstance3.speed,{PlantFMU}.PlantFMUInstance3.x,{PlantFMU}.PlantFMUInstance4.acc,{PlantFMU}.PlantFMUInstance4.speed,{PlantFMU}.PlantFMUInstance4.x
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.001,300.0,0.5,0.2,1.0,4.0,15.0,0.0,0.001,250.0,0.0,0.001,190.0,0.0,0.001,120.0,0.0,0.001,1.0
0.01,0.01,1.2400000095367432,1.6400001049041748,2.0399999618530273,4.0,0.0,0.0012479823416718385,300.0000109723907,0.5,0.2,1.0,4.0,15.0,0.0,0.001,250.00001000000006,0.0,0.001,190.00001000000006,0.0,0.001,120.00001,0.0,0.001,1.0000099999999998
0.02,0.01,1.2400985956192017,1.6400249004364014,2.040025234222412,4.000024795532227,0.0,0.0018452624664662682,300.00002617545755,0.5,0.2,1.0,4.0,15.0,0.0,0.0011533302311732235,250.00002060183814,0.0,0.0012030894991493658,190.0000207954001,0.0,0.0012529754896370773,120.00002099305289,0.0,0.0014993102264194947,1.0000219959041807
0.03,0.01,1.2402774095535278,1.6400493383407593,2.040044069290161,3.9999608993530273,0.0,0.002785660955869697,300.0000490715684,0.5,0.2,1.0,4.0,15.0,0.0,0.0015226974209851937,250.0000338192099,0.0,0.001692264406844282,190.00003505685518,0.0,0.0018622866584195076,120.00003630090957,0.0,0.0027019195535336275,1.0000424722903898
0.04,0.01,1.2405064105987549,1.6400585174560547,2.040040969848633,3.999756336212158,0.0,0.004063109621145484,300.00008306124187,0.5,0.2,1.0,4.0,15.0,0.0,0.0021043164566810295,250.00005179421453,0.0,0.0024624771017093035,190.00005561912496,0.0,0.002821630659413148,120.00005945652565,0.0,0.004595226211907036,1.0000784371901792
0.05,0.01,1.2407853603363037,1.640052080154419,2.0400164127349854,3.9994142055511475,0.0,0.005671647765434065,300.0001314851622,0.5,0.2,1.0,4.0,15.0,0.0,0.002894475288339399,250.00007663401686,0.0,0.003508765722509105,190.00008526697454,0.0,0.004124817890717829,120.0000939292871,0.0,0.007166893502042396,1.0001367413494162
0.060000000000000005,0.01,1.2411127090454102,1.6400314569473267,2.0399699211120605,3.998936176300049,0.0,0.007605419613015324,300.00019762479235,0.5,0.2,1.0,4.0,15.0,0.0,0.0038895537277723827,250.00011039934122,0.0,0.0048262532780875885,190.00012673719047,0.0,0.005765761131883581,120.00014312739341,0.0,0.01040480333087534,1.000224096566112
0.07,0.01,1.2414894104003906,1.6399962902069092,2.0399012565612793,3.9983253479003906,0.0,0.009858672742977286,300.00028470388565,0.5,0.2,1.0,4.0,15.0,0.0,0.0050859827808196366,250.00015512703936,0.0,0.006410145326347818,190.0001827179255,0.0,0.007738479859894211,120.000210397959,0.0,0.01429700218803423,1.0003471113475237
0.08,0.01,1.2419140338897705,1.639946460723877,2.0398123264312744,3.9975833892822266,0.0,0.012425756409738337,300.00039588893486,0.5,0.2,1.0,4.0,15.0,0.0,0.0064802825538487156,250.00021280885232,0.0,0.008255730786837065,190.00025584958848,0.0,0.0100370932280963,120.0002990295995,0.0,0.018831732446852698,1.0005122696631548
0.09,0.01,1.2423855066299438,1.6398825645446777,2.039702892303467,3.9967124462127686,0.0,0.015301120699673064,300.0005342904171,0.5,0.2,1.0,4.0,15.0,0.0,0.008069032329733054,250.0002854085157,0.0,0.010358378302321872,190.0003487259267,0.0,0.012655822832210502,120.00041225233299,0.0,0.02399742315957696,1.0007259388162841
0.09999999999999999,0.01,1.242903232574463,1.6398050785064697,2.0395729541778564,3.995715379714966,0.0,0.01847931337802862,300.00070296381534,0.5,0.2,1.0,4.0,15.0,0.0,0.009848882875107073,250.00037485371436,0.0,0.012713537002380967,190.0004638947384,0.0,0.015588986448494883,120.00055323885117,0.0,0.02978268616663262,1.0009943713349216
0.10999999999999999,0.01,1.2434650659561157,1.6397141218185425,2.0394225120544434,3.994594097137451,0.36238513043875303,0.021954978320207274,300.0009049104874,0.5,0.2,1.0,4.0,15.0,0.20559763103626003,0.011816553325331821,250.00048303895105,0.2723140097361856,0.015316732901034585,190.0006038586639,0.3392910403964099,0.018831000770548535,120.00072510540996,0.6683535810197117,0.03617631049581678,1.0013237066478258
0.11999999999999998,0.01,1.6064575910568237,1.9236003160476685,2.3566031455993652,4.344188690185547,0.39104080746279524,0.02572285495240588,300.00114307884087,0.5,0.2,1.0,4.0,15.0,0.2240610866804556,0.013968827581563113,250.00061182631615,0.29560998006085276,0.018163569351123857,190.0007710760785,0.37017416530202846,0.022376376154941462,120.00093091308587,0.7280566190494565,0.043167264785671774,1.0017199731864825
0.12999999999999998,0.01,1.635763168334961,1.9470417499542236,2.382390260696411,4.372594356536865,0.42001870785092704,0.02977777451822652,300.00142036508754,0.5,0.2,1.0,4.0,15.0,0.25057869903675106,0.016350231154739454,250.00076323723422,0.3266030251944396,0.021287812142962496,190.00096812603283,0.4078756039793899,0.02626307032218106,120.0011738934362,0.7960817574120378,0.05079722312262745,1.0021893982333874
0.13999999999999999,0.01,1.6654165983200073,1.974658489227295,2.412161350250244,4.404444694519043,0.4468556094191127,0.034114661905068844,300.00173961419364,0.5,0.2,1.0,4.0,15.0,0.27526500543609456,0.018977204424400727,250.00093968777932,0.3554254923287771,0.024700121183520753,190.0011978473163,0.4406004852303904,0.03050187829098141,120.00145745139268,0.8591454215281598,0.0590700296541402,1.002738248328734
0.15,0.01,1.6929423809051514,2.000274658203125,2.439751386642456,4.432610988616943,0.474768142173604,0.038728528157615474,300.0021036208397,0.5,0.2,1.0,4.0,15.0,0.29976303262080267,0.02185065011874474,250.00114363976846,0.3850728028122016,0.028400110870167274,190.0014631301894,0.4766108354195942,0.03509161478559236,120.00178515276683,0.922304568367362,0.06797969346155122,1.0033730150830054
